nombre_parque;hectareas;descripcion_parque;tarifa;pid
Parque Nacional Volcán Isulga;558126;Voluptatem aliquam corporis quasi quas quod minus. Amet laboriosam eligendi inventore ut veniam.;14368.08;0
Reserva Nacional Pampa del Tamarugal;528709;Officiis eaque nesciunt exercitationem repudiandae nobis doloremque.;20351.32;1
Parque Nacional Pan de Azúcar;388596;Consequuntur soluta laudantium quos. Maxime quis tenetur eaque quo aut rerum veniam. Laudantium ipsam assumenda occaecati impedit sint cupiditate.;5708.49;3
Reserva Nacional La Chimba;489423;Ullam suscipit repellat nostrum saepe.;4015.7;4
Parque Nacional Morro Moreno;765501;Praesentium reiciendis esse harum amet qui esse. Nulla odio incidunt ipsum quasi.;21917.22;5
Monumento Natural Paposo Norte;244363;Et molestiae voluptatum quo iste veniam. Voluptatibus optio eveniet rerum voluptates fuga. A aliquam nam.;7964.7;6
Parque Nacional Llullaillaco;573728;Accusamus dolores sit exercitationem molestias. Nesciunt hic nulla sunt.;15397.01;7
Monumento Natural La Portada;877320;Pariatur sequi facilis. Dolor id assumenda. Quidem sint at dolore ut earum.;14969.19;8
Parque Nacional Pan de Azucar;393150;Similique sint nam quis. Suscipit excepturi facilis vero temporibus.;22571.98;10
Reserva Nacional Pingüino de Humboldt;232138;Esse eaque quos minus. Quaerat repellat cum reprehenderit nulla delectus itaque culpa.;7092.28;11
Parque Nacional Nevado Tres Cruces;251118;Amet cupiditate cumque atque optio consequuntur molestiae. Soluta porro minus minima ab ipsa non eveniet.;20266.56;12
Parque Nacional LLanos de Challe;581691;Atque sunt fuga vel rem repellendus hic. Nostrum ex a maxime fuga. Perspiciatis ex perspiciatis cum.;4475.3;13
Parque nacional Bosque Fray Jorge;917588;Est enim minus commodi esse quibusdam minus. Temporibus dicta quae soluta a.;5214.34;15
Parque Nacional Pingüino de Humboldt;291988;Nulla dolorem excepturi est veritatis aut aspernatur. Hic doloribus vitae deserunt.;22425.78;16
Reserva Nacional Las Chinchillas;325943;Eveniet explicabo expedita placeat. Tempora rerum optio sequi minus animi. Odit quaerat sunt.;19502.46;17
Monumento Natural Pichasca;248155;Beatae voluptate magnam inventore. Enim odit iure.;22752.06;18
Santuario de La Naturaleza Laguna El Peral;365104;Veniam sint delectus velit eius. Mollitia possimus explicabo nam commodi. Est odit tenetur.;9412.62;20
Monumento Natural Isla Cachagua;953750;Deserunt consequatur commodi optio autem. Vitae in tempore incidunt repudiandae ullam.;23782.36;21
Reserva Nacional El Yali;412526;Unde eius autem aliquam iste ullam. Hic dicta optio sequi excepturi sequi doloremque. Qui nam eligendi delectus voluptates.;22828.39;22
Parque Nacional Archipiélago Juan Fernández;750385;Nostrum autem cum earum vitae iste. Adipisci animi sequi eligendi cupiditate minima quisquam. Possimus dicta sunt laudantium aliquam dignissimos nobis.;17978.08;23
Parque Nacional La Campana;719748;Facere amet hic voluptate. Beatae alias deleniti corporis placeat possimus pariatur.;10591.65;24
Reserva Nacional Lago Peñuelas;539426;Maxime optio id nesciunt numquam aspernatur maiores quia. Odit nostrum quisquam mollitia amet necessitatibus.;22557.02;25
Parque Nacional Rapa Nui;409041;Soluta nihil quae aliquam. Laboriosam maiores minus sint id. Nam eum qui neque non quibusdam.;8281.41;26
Reserva Nacional Roblería del Cobre de Loncha;58544;Quidem delectus quaerat doloribus similique sed tenetur. Est doloribus fugiat exercitationem iste.;7392.21;28
